,risk_category,state_name,county_name,census_tract_code
1937,Current Risk (FEMA High Risk),Texas,Nueces,48355006204
9595,Current Risk (FEMA High Risk),Texas,Nueces,48355005104
9645,Current Risk (FEMA High Risk),Texas,Nueces,48355006202
25362,Current Risk (FEMA High Risk),Texas,Nueces,48355003101
42177,Current Risk (FEMA High Risk),Texas,Nueces,48355005103
43439,Current Risk (FEMA High Risk),Texas,Nueces,48355006205
71947,Current Risk (FEMA High Risk),Texas,Nueces,48355006300
61331,Current Risk (FEMA High Risk),Texas,Jackson,48239950300
78556,Current Risk (FEMA High Risk),Texas,Jackson,48239950100
1411,Current Risk (FEMA High Risk),Texas,Cameron,48061014502
4229,Current Risk (FEMA High Risk),Texas,Cameron,48061012607
5342,Current Risk (FEMA High Risk),Texas,Cameron,48061012301
28768,Current Risk (FEMA High Risk),Texas,Cameron,48061014201
35850,Current Risk (FEMA High Risk),Texas,Cameron,48061012608
40184,Current Risk (FEMA High Risk),Texas,Cameron,48061014202
51989,Current Risk (FEMA High Risk),Texas,Cameron,48061014501
64095,Current Risk (FEMA High Risk),Texas,Cameron,48061012700
68148,Current Risk (FEMA High Risk),Texas,Cameron,48061012305
72596,Current Risk (FEMA High Risk),Texas,Cameron,48061012304
18270,Current Risk (FEMA High Risk),Texas,Calhoun,48057000300
47140,Current Risk (FEMA High Risk),Texas,Calhoun,48057000501
48220,Current Risk (FEMA High Risk),Texas,Calhoun,48057000502
75021,Current Risk (FEMA High Risk),Texas,Calhoun,48057000401
53640,Current Risk (FEMA High Risk),Texas,Brazoria,48039664200
9394,Current Risk (FEMA High Risk),Texas,Aransas,48007950301
9395,Current Risk (FEMA High Risk),Texas,Aransas,48007950102
29324,Current Risk (FEMA High Risk),Texas,Aransas,48007950400
29530,Current Risk (FEMA High Risk),Texas,Aransas,48007950502
29961,Current Risk (FEMA High Risk),Texas,Aransas,48007950103
49066,Current Risk (FEMA High Risk),Texas,Aransas,48007950501
49119,Current Risk (FEMA High Risk),Texas,Aransas,48007950503
49120,Current Risk (FEMA High Risk),Texas,Aransas,48007950101
77072,Current Risk (FEMA High Risk),Texas,Aransas,48007950200
23442,Current Risk (FEMA High Risk),South Carolina,Horry,45051040500
50856,Current Risk (FEMA High Risk),South Carolina,Horry,45051040200
55548,Current Risk (FEMA High Risk),South Carolina,Horry,45051051302
62540,Current Risk (FEMA High Risk),South Carolina,Horry,45051040105
68322,Current Risk (FEMA High Risk),South Carolina,Horry,45051050200
52255,Current Risk (FEMA High Risk),Rhode Island,Washington,44009051000
75737,Current Risk (FEMA High Risk),Rhode Island,Washington,44009051302
10909,Current Risk (FEMA High Risk),Oregon,Tillamook,41057960600
35093,Current Risk (FEMA High Risk),Oregon,Tillamook,41057960800
44992,Current Risk (FEMA High Risk),Oregon,Tillamook,41057960102
70224,Current Risk (FEMA High Risk),Oregon,Tillamook,41057960500
24842,Current Risk (FEMA High Risk),Oregon,Lincoln,41041951600
58708,Current Risk (FEMA High Risk),Oregon,Lincoln,41041950601
80847,Current Risk (FEMA High Risk),Oregon,Lincoln,41041950304
16546,Current Risk (FEMA High Risk),Oregon,Lane,41039000705
33568,Current Risk (FEMA High Risk),Oregon,Lane,41039000707
76982,Current Risk (FEMA High Risk),Oregon,Lane,41039000708
64203,Current Risk (FEMA High Risk),Oregon,Douglas,41019010000
69205,Current Risk (FEMA High Risk),Oregon,Douglas,41019020000
1524,Current Risk (FEMA High Risk),Oregon,Coos,41011000102
2289,Current Risk (FEMA High Risk),Oregon,Coos,41011000800
3411,Current Risk (FEMA High Risk),Oregon,Coos,41011000401
37458,Current Risk (FEMA High Risk),Oregon,Coos,41011000702
40198,Current Risk (FEMA High Risk),Oregon,Coos,41011000902
43259,Current Risk (FEMA High Risk),Oregon,Coos,41011000300
44975,Current Risk (FEMA High Risk),Oregon,Coos,41011001002
65014,Current Risk (FEMA High Risk),Oregon,Coos,41011000200
68487,Current Risk (FEMA High Risk),Oregon,Coos,41011000103
68912,Current Risk (FEMA High Risk),Oregon,Coos,41011000701
72391,Current Risk (FEMA High Risk),Oregon,Coos,41011000502
20697,Current Risk (FEMA High Risk),Oregon,Clatsop,41007950900
62189,Current Risk (FEMA High Risk),Oregon,Clatsop,41007950600
63859,Current Risk (FEMA High Risk),Oregon,Clatsop,41007950400
72977,Current Risk (FEMA High Risk),Oregon,Clatsop,41007951200
78951,Current Risk (FEMA High Risk),Oregon,Clatsop,41007950500
79303,Current Risk (FEMA High Risk),Oregon,Clatsop,41007950200
83394,Current Risk (FEMA High Risk),Oregon,Clatsop,41007950300
67192,Current Risk (FEMA High Risk),North Carolina,Tyrrell,37177960100
63756,Current Risk (FEMA High Risk),North Carolina,Hyde,37095920101
43855,Current Risk (FEMA High Risk),North Carolina,Dare,37055970400
45313,Current Risk (FEMA High Risk),North Carolina,Dare,37055970502
8062,Current Risk (FEMA High Risk),North Carolina,Beaufort,37013930102
57335,Current Risk (FEMA High Risk),North Carolina,Beaufort,37013930501
71651,Current Risk (FEMA High Risk),North Carolina,Beaufort,37013930700
78186,Current Risk (FEMA High Risk),North Carolina,Beaufort,37013930101
19204,Current Risk (FEMA High Risk),New York,Westchester,36119005702
19820,Current Risk (FEMA High Risk),New York,Westchester,36119013304
24415,Current Risk (FEMA High Risk),New York,Westchester,36119007402
34165,Current Risk (FEMA High Risk),New York,Westchester,36119005704
39825,Current Risk (FEMA High Risk),New York,Westchester,36119005902
44892,Current Risk (FEMA High Risk),New York,Westchester,36119000104
62099,Current Risk (FEMA High Risk),New York,Westchester,36119007600
64573,Current Risk (FEMA High Risk),New York,Westchester,36119008100
72786,Current Risk (FEMA High Risk),New York,Westchester,36119000401
74150,Current Risk (FEMA High Risk),New York,Westchester,36119007000
76700,Current Risk (FEMA High Risk),New York,Westchester,36119007100
81164,Current Risk (FEMA High Risk),New York,Westchester,36119007200
16993,Current Risk (FEMA High Risk),New York,Suffolk,36103124102
21289,Current Risk (FEMA High Risk),New York,Suffolk,36103146902
26873,Current Risk (FEMA High Risk),New York,Suffolk,36103123600
55640,Current Risk (FEMA High Risk),New York,Suffolk,36103159510
57626,Current Risk (FEMA High Risk),New York,Suffolk,36103190502
57984,Current Risk (FEMA High Risk),New York,Suffolk,36103124200
62795,Current Risk (FEMA High Risk),New York,Suffolk,36103147004
63823,Current Risk (FEMA High Risk),New York,Suffolk,36103123801
74087,Current Risk (FEMA High Risk),New York,Suffolk,36103123802
80271,Current Risk (FEMA High Risk),New York,Suffolk,36103124402
81066,Current Risk (FEMA High Risk),New York,Suffolk,36103147302
83553,Current Risk (FEMA High Risk),New York,Suffolk,36103190504
83734,Current Risk (FEMA High Risk),New York,Suffolk,36103124602
38826,Current Risk (FEMA High Risk),New York,Richmond,36085012806
869,Current Risk (FEMA High Risk),New York,Queens,36081088400
12005,Current Risk (FEMA High Risk),New York,Queens,36081091603
12072,Current Risk (FEMA High Risk),New York,Queens,36081097206
13429,Current Risk (FEMA High Risk),New York,Queens,36081092900
21060,Current Risk (FEMA High Risk),New York,Queens,36081107201
23690,Current Risk (FEMA High Risk),New York,Queens,36081094202
27969,Current Risk (FEMA High Risk),New York,Queens,36081069400
31458,Current Risk (FEMA High Risk),New York,Queens,36081033100
36163,Current Risk (FEMA High Risk),New York,Queens,36081103201
38068,Current Risk (FEMA High Risk),New York,Queens,36081066401
