U.S. Coastline Counties: 2016,,,,,,
,,,,,,
"STATE/
COUNTY
FIPS","STATE
FIPS","COUNTY
FIPS",COUNTY NAME,STATE NAME,COASTLINE REGION,"V.2016
POPULATION
ESTIMATE"
15009,15,009,Maui County,Hawaii,Pacific,"165,386"
22023,22,023,Cameron Parish,Louisiana,Gulf of Mexico,"6,882"
22045,22,045,Iberia Parish,Louisiana,Gulf of Mexico,"73,273"
22051,22,051,Jefferson Parish,Louisiana,Gulf of Mexico,"436,523"
22057,22,057,Lafourche Parish,Louisiana,Gulf of Mexico,"98,305"
22071,22,071,Orleans Parish,Louisiana,Gulf of Mexico,"391,495"
22075,22,075,Plaquemines Parish,Louisiana,Gulf of Mexico,"23,464"
22087,22,087,St. Bernard Parish,Louisiana,Gulf of Mexico,"45,688"
22101,22,101,St. Mary Parish,Louisiana,Gulf of Mexico,"52,093"
22103,22,103,St. Tammany Parish,Louisiana,Gulf of Mexico,"253,602"
22109,22,109,Terrebonne Parish,Louisiana,Gulf of Mexico,"113,220"
22113,22,113,Vermilion Parish,Louisiana,Gulf of Mexico,"60,205"
23005,23,005,Cumberland County,Maine,Atlantic,"292,041"
23009,23,009,Hancock County,Maine,Atlantic,"54,419"
23013,23,013,Knox County,Maine,Atlantic,"39,744"
23015,23,015,Lincoln County,Maine,Atlantic,"34,216"
23023,23,023,Sagadahoc County,Maine,Atlantic,"35,273"
23027,23,027,Waldo County,Maine,Atlantic,"39,364"
23029,23,029,Washington County,Maine,Atlantic,"31,450"
23031,23,031,York County,Maine,Atlantic,"202,343"
24003,24,003,Anne Arundel County,Maryland,Atlantic,"568,346"
24005,24,005,Baltimore County,Maryland,Atlantic,"831,026"
24009,24,009,Calvert County,Maryland,Atlantic,"91,251"
24015,24,015,Cecil County,Maryland,Atlantic,"102,603"
24017,24,017,Charles County,Maryland,Atlantic,"157,705"
24019,24,019,Dorchester County,Maryland,Atlantic,"32,258"
24025,24,025,Harford County,Maryland,Atlantic,"251,032"
24029,24,029,Kent County,Maryland,Atlantic,"19,730"
24035,24,035,Queen Anne's County,Maryland,Atlantic,"48,929"
24037,24,037,St. Mary's County,Maryland,Atlantic,"112,587"
24039,24,039,Somerset County,Maryland,Atlantic,"25,928"
24041,24,041,Talbot County,Maryland,Atlantic,"37,278"
24045,24,045,Wicomico County,Maryland,Atlantic,"102,577"
24047,24,047,Worcester County,Maryland,Atlantic,"51,444"
24510,24,510,Baltimore city,Maryland,Atlantic,"614,664"
25001,25,001,Barnstable County,Massachusetts,Atlantic,"214,276"
25005,25,005,Bristol County,Massachusetts,Atlantic,"558,324"
25007,25,007,Dukes County,Massachusetts,Atlantic,"17,246"
25009,25,009,Essex County,Massachusetts,Atlantic,"779,018"
25019,25,019,Nantucket County,Massachusetts,Atlantic,"11,008"
25021,25,021,Norfolk County,Massachusetts,Atlantic,"697,181"
25023,25,023,Plymouth County,Massachusetts,Atlantic,"513,565"
25025,25,025,Suffolk County,Massachusetts,Atlantic,"784,230"
28045,28,045,Hancock County,Mississippi,Gulf of Mexico,"46,791"
28047,28,047,Harrison County,Mississippi,Gulf of Mexico,"203,234"
28059,28,059,Jackson County,Mississippi,Gulf of Mexico,"141,241"
